doi,date,status,version
10.7554/eLife.00007,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00013,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00048,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00065,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00240,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00242,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00243,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00270,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00286,2012-10-15 07:00:00,VOR,1
10.7554/eLife.00005,2012-10-30 07:00:00,VOR,1
10.7554/eLife.00031,2012-10-30 07:00:00,VOR,1
10.7554/eLife.00102,2012-10-30 07:00:00,VOR,1
10.7554/eLife.00281,2012-10-30 07:00:00,VOR,1
10.7554/eLife.00003,2012-11-13 08:00:00,VOR,1
10.7554/eLife.00011,2012-11-13 08:00:00,VOR,1
10.7554/eLife.00049,2012-11-13 08:00:00,VOR,1
10.7554/eLife.00068,2012-11-13 08:00:00,VOR,1
10.7554/eLife.00173,2012-11-13 08:00:00,VOR,1
10.7554/eLife.00301,2012-11-13 08:00:00,VOR,1
10.7554/eLife.00302,2012-11-13 08:00:00,VOR,1
10.7554/eLife.00051,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00067,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00070,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00078,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00109,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00171,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00184,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00326,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00340,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00347,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00351,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00353,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00365,2012-12-13 08:00:00,VOR,1
10.7554/eLife.00047,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00090,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00093,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00117,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00181,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00205,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00311,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00352,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00385,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00386,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00387,2012-12-18 08:00:00,VOR,1
10.7554/eLife.00248,2012-12-31 08:00:00,VOR,1
10.7554/eLife.00475,2012-12-31 08:00:00,VOR,1
10.7554/eLife.00116,2013-01-08 13:50:46,VOR,1
10.7554/eLife.00160,2013-01-08 13:50:46,VOR,1
10.7554/eLife.00170,2013-01-08 13:50:46,VOR,1
10.7554/eLife.00231,2013-01-08 13:50:46,VOR,1
10.7554/eLife.00450,2013-01-08 13:50:46,VOR,1
10.7554/eLife.00452,2013-01-08 13:50:46,VOR,1
10.7554/eLife.00012,2013-01-22 22:55:45,VOR,1
10.7554/eLife.00178,2013-01-22 22:55:45,VOR,1
10.7554/eLife.00183,2013-01-22 22:55:45,VOR,1
10.7554/eLife.00230,2013-01-22 22:55:45,VOR,1
10.7554/eLife.00308,2013-01-22 22:55:45,VOR,1
10.7554/eLife.00476,2013-01-22 22:55:45,VOR,1
10.7554/eLife.00477,2013-01-22 22:55:45,VOR,1
10.7554/eLife.00491,2013-01-22 22:55:45,VOR,1
10.7554/eLife.00471,2013-01-29 13:01:02,VOR,1
10.7554/eLife.00563,2013-01-29 13:01:02,VOR,1
10.7554/eLife.00105,2013-02-05 17:35:51,VOR,1
10.7554/eLife.00306,2013-02-05 17:35:51,VOR,1
10.7554/eLife.00321,2013-02-05 17:35:51,VOR,1
10.7554/eLife.00329,2013-02-05 17:35:51,VOR,1
10.7554/eLife.00515,2013-02-05 17:35:51,VOR,1
10.7554/eLife.00565,2013-02-12 11:40:20,VOR,1
10.7554/eLife.00290,2013-02-19 15:25:43,VOR,1
10.7554/eLife.00291,2013-02-19 15:25:43,VOR,1
10.7554/eLife.00333,2013-02-19 15:25:43,VOR,1
10.7554/eLife.00461,2013-02-19 15:25:43,VOR,1
10.7554/eLife.00571,2013-02-19 15:25:43,VOR,1
10.7554/eLife.00572,2013-02-19 15:25:43,VOR,1
10.7554/eLife.00573,2013-02-19 15:25:43,VOR,1
10.7554/eLife.00488,2013-02-20 15:03:35,VOR,1
10.7554/eLife.00348,2013-02-26 13:01:11,VOR,1
10.7554/eLife.00400,2013-02-26 13:01:11,VOR,1
10.7554/eLife.00593,2013-02-26 13:01:11,VOR,1
10.7554/eLife.00190,2013-03-05 13:50:52,VOR,1
10.7554/eLife.00218,2013-03-05 13:50:52,VOR,1
10.7554/eLife.00327,2013-03-05 13:50:52,VOR,1
10.7554/eLife.00337,2013-03-05 13:50:52,VOR,1
10.7554/eLife.00615,2013-03-05 13:50:52,VOR,1
10.7554/eLife.00133,2013-03-06 11:45:47,VOR,1
10.7554/eLife.00577,2013-03-08 08:05:58,VOR,1
10.7554/eLife.00646,2013-03-12 07:05:57,VOR,1
10.7554/eLife.00336,2013-03-19 13:01:14,VOR,1
10.7554/eLife.00354,2013-03-19 13:01:14,VOR,1
10.7554/eLife.00378,2013-03-19 13:01:14,VOR,1
10.7554/eLife.00638,2013-03-19 13:01:14,VOR,1
